time,SBERP
2022-09-11 09:00:00+00:00,130.35
2022-09-11 10:00:00+00:00,130.27
2022-09-11 11:00:00+00:00,130.31
2022-09-11 12:00:00+00:00,130.39
2022-09-11 13:00:00+00:00,130.52
2022-09-11 14:00:00+00:00,130.27
2022-09-11 15:00:00+00:00,129.74
2022-09-12 07:00:00+00:00,132.47
2022-09-12 08:00:00+00:00,132.44
2022-09-12 09:00:00+00:00,132.83
2022-09-12 10:00:00+00:00,131.78
2022-09-12 11:00:00+00:00,132.25
2022-09-12 12:00:00+00:00,132.47
2022-09-12 13:00:00+00:00,131.45
2022-09-12 14:00:00+00:00,131.08
2022-09-12 15:00:00+00:00,131.06
2022-09-12 16:00:00+00:00,131.09
2022-09-12 17:00:00+00:00,131.28
2022-09-12 18:00:00+00:00,131.2
2022-09-12 19:00:00+00:00,131.16
2022-09-12 20:00:00+00:00,131.54
2022-09-13 07:00:00+00:00,131.17
2022-09-13 08:00:00+00:00,131.35
2022-09-13 09:00:00+00:00,131.83
2022-09-13 10:00:00+00:00,131.71
2022-09-13 11:00:00+00:00,131.55
2022-09-13 12:00:00+00:00,130.05
2022-09-13 13:00:00+00:00,130.69
2022-09-13 14:00:00+00:00,130.9
2022-09-13 15:00:00+00:00,130.58
2022-09-13 16:00:00+00:00,130.4
2022-09-13 17:00:00+00:00,130.53
2022-09-13 18:00:00+00:00,130.52
2022-09-13 19:00:00+00:00,130.07
2022-09-13 20:00:00+00:00,130.12
2022-09-14 07:00:00+00:00,129.27
2022-09-14 08:00:00+00:00,129.44
2022-09-14 09:00:00+00:00,129.27
2022-09-14 10:00:00+00:00,129.47
2022-09-14 11:00:00+00:00,128.93
2022-09-14 12:00:00+00:00,129.5
2022-09-14 13:00:00+00:00,129.99
2022-09-14 14:00:00+00:00,131.58
2022-09-14 15:00:00+00:00,131.77
2022-09-14 16:00:00+00:00,131.48
2022-09-14 17:00:00+00:00,131.48
2022-09-14 18:00:00+00:00,131.36
2022-09-14 19:00:00+00:00,131.2
2022-09-14 20:00:00+00:00,131.4
2022-09-15 07:00:00+00:00,130.9
2022-09-15 08:00:00+00:00,131.2
2022-09-15 09:00:00+00:00,130.58
2022-09-15 10:00:00+00:00,130.62
2022-09-15 11:00:00+00:00,131.29
2022-09-15 12:00:00+00:00,132.3
2022-09-15 13:00:00+00:00,132.14
2022-09-15 14:00:00+00:00,132.37
2022-09-15 15:00:00+00:00,132.08
2022-09-15 16:00:00+00:00,131.96
2022-09-15 17:00:00+00:00,132.25
2022-09-15 18:00:00+00:00,132.31
2022-09-15 19:00:00+00:00,132.15
2022-09-15 20:00:00+00:00,132.09
2022-09-16 07:00:00+00:00,131.43
2022-09-16 08:00:00+00:00,132.16
2022-09-16 09:00:00+00:00,132.66
2022-09-16 10:00:00+00:00,131.47
2022-09-16 11:00:00+00:00,131.07
2022-09-16 12:00:00+00:00,130.14
2022-09-16 13:00:00+00:00,130.41
2022-09-16 14:00:00+00:00,130.39
2022-09-16 15:00:00+00:00,130.11
2022-09-16 16:00:00+00:00,130.37
2022-09-16 17:00:00+00:00,130.35
2022-09-16 18:00:00+00:00,130.57
2022-09-16 19:00:00+00:00,130.61
2022-09-16 20:00:00+00:00,130.52
2022-09-17 08:00:00+00:00,130.22
2022-09-17 09:00:00+00:00,130.82
2022-09-17 10:00:00+00:00,130.3
2022-09-17 11:00:00+00:00,130.31
2022-09-17 12:00:00+00:00,130.3
2022-09-17 13:00:00+00:00,130.83
2022-09-17 15:00:00+00:00,130.83
2022-09-18 07:00:00+00:00,130.23
2022-09-18 08:00:00+00:00,130.29
2022-09-18 09:00:00+00:00,129.96
2022-09-18 10:00:00+00:00,130.04
2022-09-18 11:00:00+00:00,130.67
2022-09-18 12:00:00+00:00,130.62
2022-09-18 13:00:00+00:00,130.7
2022-09-18 14:00:00+00:00,130.74
2022-09-18 15:00:00+00:00,130.3
2022-09-19 07:00:00+00:00,131.21
2022-09-19 08:00:00+00:00,131.2
2022-09-19 09:00:00+00:00,130.38
2022-09-19 10:00:00+00:00,130.6
2022-09-19 11:00:00+00:00,130.5
2022-09-19 12:00:00+00:00,130.39
2022-09-19 13:00:00+00:00,130.46
2022-09-19 14:00:00+00:00,130.6
2022-09-19 15:00:00+00:00,130.77
2022-09-19 16:00:00+00:00,130.64
2022-09-19 17:00:00+00:00,130.65
2022-09-19 18:00:00+00:00,130.33
2022-09-19 19:00:00+00:00,130.35
2022-09-19 20:00:00+00:00,130.27
2022-09-20 07:00:00+00:00,128.89
2022-09-20 08:00:00+00:00,129.35
2022-09-20 09:00:00+00:00,127.47
2022-09-20 10:00:00+00:00,125.93
2022-09-20 11:00:00+00:00,122.62
2022-09-20 12:00:00+00:00,126.17
2022-09-20 13:00:00+00:00,124.4
2022-09-20 14:00:00+00:00,124.01
2022-09-20 15:00:00+00:00,120.63
2022-09-20 16:00:00+00:00,120.17
2022-09-20 17:00:00+00:00,120.43
2022-09-20 18:00:00+00:00,122.57
2022-09-20 19:00:00+00:00,121.41
2022-09-20 20:00:00+00:00,121.45
2022-09-21 07:00:00+00:00,116.62
2022-09-21 08:00:00+00:00,116.8
2022-09-21 09:00:00+00:00,116.79
2022-09-21 10:00:00+00:00,114.9
2022-09-21 11:00:00+00:00,115.59
2022-09-21 12:00:00+00:00,116.04
2022-09-21 13:00:00+00:00,117.56
2022-09-21 14:00:00+00:00,116.54
2022-09-21 15:00:00+00:00,116.78
2022-09-21 16:00:00+00:00,116.95
2022-09-21 17:00:00+00:00,116.2
2022-09-21 18:00:00+00:00,116.6
2022-09-21 19:00:00+00:00,116.45
2022-09-21 20:00:00+00:00,116.12
2022-09-22 07:00:00+00:00,119.55
2022-09-22 08:00:00+00:00,119.21
2022-09-22 09:00:00+00:00,118.39
2022-09-22 10:00:00+00:00,118.24
2022-09-22 11:00:00+00:00,118.95
2022-09-22 12:00:00+00:00,120.19
2022-09-22 13:00:00+00:00,120.91
2022-09-22 14:00:00+00:00,120.69
2022-09-22 15:00:00+00:00,119.69
2022-09-22 16:00:00+00:00,119.56
2022-09-22 17:00:00+00:00,119.47
2022-09-22 18:00:00+00:00,119.4
2022-09-22 19:00:00+00:00,119.51
2022-09-22 20:00:00+00:00,119.23
2022-09-23 07:00:00+00:00,117.49
2022-09-23 08:00:00+00:00,115.57
2022-09-23 09:00:00+00:00,115.39
2022-09-23 10:00:00+00:00,114.89
2022-09-23 11:00:00+00:00,114.58
2022-09-23 12:00:00+00:00,114.36
2022-09-23 13:00:00+00:00,112.94
2022-09-23 14:00:00+00:00,113.9
2022-09-23 15:00:00+00:00,114.17
2022-09-23 16:00:00+00:00,114.26
2022-09-23 17:00:00+00:00,114.05
2022-09-23 18:00:00+00:00,114.35
2022-09-23 19:00:00+00:00,114.97
2022-09-23 20:00:00+00:00,114.47
2022-09-26 07:00:00+00:00,110.97
2022-09-26 08:00:00+00:00,107.46
2022-09-26 09:00:00+00:00,105.5
2022-09-26 10:00:00+00:00,107.1
2022-09-26 11:00:00+00:00,107.77
2022-09-26 12:00:00+00:00,108.14
2022-09-26 13:00:00+00:00,108.65
2022-09-26 14:00:00+00:00,107.01
2022-09-26 15:00:00+00:00,105.7
2022-09-26 16:00:00+00:00,106.37
2022-09-26 17:00:00+00:00,106.0
2022-09-26 18:00:00+00:00,105.51
2022-09-26 19:00:00+00:00,104.61
2022-09-26 20:00:00+00:00,104.09
2022-09-27 07:00:00+00:00,106.58
2022-09-27 08:00:00+00:00,107.08
2022-09-27 09:00:00+00:00,105.61
2022-09-27 10:00:00+00:00,105.6
2022-09-27 11:00:00+00:00,104.76
2022-09-27 12:00:00+00:00,105.6
2022-09-27 13:00:00+00:00,105.24
2022-09-27 14:00:00+00:00,106.97
2022-09-27 15:00:00+00:00,107.78
2022-09-27 16:00:00+00:00,107.14
2022-09-27 17:00:00+00:00,107.79
2022-09-27 18:00:00+00:00,107.7
2022-09-27 19:00:00+00:00,109.01
2022-09-27 20:00:00+00:00,108.51
2022-09-28 07:00:00+00:00,109.43
2022-09-28 08:00:00+00:00,108.84
2022-09-28 09:00:00+00:00,107.06
2022-09-28 10:00:00+00:00,106.16
2022-09-28 11:00:00+00:00,106.72
2022-09-28 12:00:00+00:00,107.07
2022-09-28 13:00:00+00:00,106.06
2022-09-28 14:00:00+00:00,106.84
2022-09-28 15:00:00+00:00,106.3
2022-09-28 16:00:00+00:00,106.69
2022-09-28 17:00:00+00:00,106.64
2022-09-28 18:00:00+00:00,106.73
2022-09-28 19:00:00+00:00,106.69
2022-09-28 20:00:00+00:00,106.61
2022-09-29 07:00:00+00:00,106.71
2022-09-29 08:00:00+00:00,106.46
2022-09-29 09:00:00+00:00,105.9
2022-09-29 10:00:00+00:00,104.41
2022-09-29 11:00:00+00:00,103.77
2022-09-29 12:00:00+00:00,103.47
2022-09-29 13:00:00+00:00,104.18
2022-09-29 14:00:00+00:00,104.0
2022-09-29 15:00:00+00:00,104.1
2022-09-29 16:00:00+00:00,105.12
2022-09-29 17:00:00+00:00,105.14
2022-09-29 18:00:00+00:00,104.64
2022-09-29 19:00:00+00:00,104.77
2022-09-29 20:00:00+00:00,105.23
2022-09-30 07:00:00+00:00,105.42
2022-09-30 08:00:00+00:00,104.65
2022-09-30 09:00:00+00:00,105.67
2022-09-30 10:00:00+00:00,102.89
2022-09-30 11:00:00+00:00,102.29
2022-09-30 12:00:00+00:00,104.6
2022-09-30 13:00:00+00:00,105.89
2022-09-30 14:00:00+00:00,104.46
2022-09-30 15:00:00+00:00,104.59
2022-09-30 16:00:00+00:00,105.95
2022-09-30 17:00:00+00:00,106.05
2022-09-30 18:00:00+00:00,106.29
2022-09-30 19:00:00+00:00,106.31
2022-09-30 20:00:00+00:00,105.66
2022-10-03 07:00:00+00:00,105.94
2022-10-03 08:00:00+00:00,105.95
2022-10-03 09:00:00+00:00,106.17
2022-10-03 10:00:00+00:00,107.45
2022-10-03 11:00:00+00:00,108.12
2022-10-03 12:00:00+00:00,108.36
2022-10-03 13:00:00+00:00,108.19
2022-10-03 14:00:00+00:00,109.38
2022-10-03 15:00:00+00:00,109.64
2022-10-03 16:00:00+00:00,109.35
2022-10-03 17:00:00+00:00,109.64
2022-10-03 18:00:00+00:00,109.69
2022-10-03 19:00:00+00:00,109.71
2022-10-03 20:00:00+00:00,109.55
2022-10-04 07:00:00+00:00,108.15
2022-10-04 08:00:00+00:00,108.9
2022-10-04 09:00:00+00:00,107.57
2022-10-04 10:00:00+00:00,107.25
2022-10-04 11:00:00+00:00,107.45
2022-10-04 12:00:00+00:00,107.18
2022-10-04 13:00:00+00:00,107.16
2022-10-04 14:00:00+00:00,106.79
2022-10-04 15:00:00+00:00,107.52
2022-10-04 16:00:00+00:00,107.34
2022-10-04 17:00:00+00:00,107.39
2022-10-04 18:00:00+00:00,106.98
2022-10-04 19:00:00+00:00,107.17
2022-10-04 20:00:00+00:00,107.09
2022-10-05 07:00:00+00:00,104.62
2022-10-05 08:00:00+00:00,103.83
2022-10-05 09:00:00+00:00,104.12
2022-10-05 10:00:00+00:00,104.9
2022-10-05 11:00:00+00:00,104.62
2022-10-05 12:00:00+00:00,104.72
2022-10-05 13:00:00+00:00,105.19
2022-10-05 14:00:00+00:00,104.61
2022-10-05 15:00:00+00:00,104.67
2022-10-05 16:00:00+00:00,105.23
2022-10-05 17:00:00+00:00,105.0
2022-10-05 18:00:00+00:00,104.93
2022-10-05 19:00:00+00:00,105.02
2022-10-05 20:00:00+00:00,104.85
2022-10-06 07:00:00+00:00,105.84
2022-10-06 08:00:00+00:00,106.27
2022-10-06 09:00:00+00:00,105.29
2022-10-06 10:00:00+00:00,105.01
2022-10-06 11:00:00+00:00,104.98
2022-10-06 12:00:00+00:00,105.14
2022-10-06 13:00:00+00:00,105.14
2022-10-06 14:00:00+00:00,104.83
2022-10-06 15:00:00+00:00,105.11
2022-10-06 16:00:00+00:00,105.18
2022-10-06 17:00:00+00:00,105.19
2022-10-06 18:00:00+00:00,105.16
2022-10-06 19:00:00+00:00,105.02
2022-10-06 20:00:00+00:00,105.32
2022-10-07 07:00:00+00:00,104.2
2022-10-07 08:00:00+00:00,103.59
2022-10-07 09:00:00+00:00,103.87
2022-10-07 10:00:00+00:00,103.55
2022-10-07 11:00:00+00:00,103.58
2022-10-07 12:00:00+00:00,103.37
2022-10-07 13:00:00+00:00,101.89
2022-10-07 14:00:00+00:00,101.23
2022-10-07 15:00:00+00:00,100.7
2022-10-07 16:00:00+00:00,99.65
2022-10-07 17:00:00+00:00,100.44
2022-10-07 18:00:00+00:00,100.28
2022-10-07 19:00:00+00:00,100.33
2022-10-07 20:00:00+00:00,99.33
2022-10-10 07:00:00+00:00,100.14
2022-10-10 08:00:00+00:00,99.98
2022-10-10 09:00:00+00:00,99.21
2022-10-10 10:00:00+00:00,100.31
2022-10-10 11:00:00+00:00,100.27
2022-10-10 12:00:00+00:00,101.94
2022-10-10 13:00:00+00:00,101.68
2022-10-10 14:00:00+00:00,102.81
2022-10-10 15:00:00+00:00,102.9
2022-10-10 16:00:00+00:00,102.63
2022-10-10 17:00:00+00:00,103.42
2022-10-10 18:00:00+00:00,103.0
2022-10-10 19:00:00+00:00,103.06
2022-10-10 20:00:00+00:00,103.2
2022-10-11 07:00:00+00:00,101.31
2022-10-11 08:00:00+00:00,102.94
2022-10-11 09:00:00+00:00,103.65
2022-10-11 10:00:00+00:00,103.55
2022-10-11 11:00:00+00:00,103.72
2022-10-11 12:00:00+00:00,103.17
2022-10-11 13:00:00+00:00,103.35
2022-10-11 14:00:00+00:00,103.79
2022-10-11 15:00:00+00:00,103.5
2022-10-11 16:00:00+00:00,103.62
2022-10-11 17:00:00+00:00,103.8
2022-10-11 18:00:00+00:00,103.81
2022-10-11 19:00:00+00:00,103.63
